Age,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,JobInvolvement,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,ratio_years_company,BadLiveLevel,ratio_mincome_x_level
46,7,2,4,0,3,3,9.291551627401006,6,0,13,3,2,1,3,3,8,0,7,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.46153846153846156,0,1.0132846946066458
46,18,3,3,1,3,3,8.478660241699453,2,0,14,3,3,1,5,2,10,0,8,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.10526315789473684,0,0.9881619079786322
35,1,4,3,1,1,4,7.999007213243955,1,0,12,3,4,1,5,3,4,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.25,0,1.013238508679216
31,9,1,3,0,3,2,9.273221270015384,1,0,25,4,4,1,6,4,13,0,8,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.07692307692307693,0,1.0112856882694539
23,20,1,1,0,3,3,7.728855823852543,0,0,14,3,2,0,2,3,4,1,2,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0,0,0.9007744973466548
21,18,1,4,1,3,4,7.898782356970309,1,0,19,3,1,0,3,2,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1.0,0,1.0005429726963058
34,24,4,1,1,2,2,8.433811582477187,0,1,23,4,3,0,2,4,15,10,10,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.0,0,0.9829349339751928
41,4,3,3,0,1,2,8.768885326134864,6,0,19,3,2,1,4,3,3,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.6,0,1.0219867535324707
40,9,4,4,0,3,1,7.610357618312838,3,0,14,3,2,0,3,1,5,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.2,0,0.964008057265848
28,13,2,4,1,3,3,9.195734219586821,3,1,11,3,4,0,0,3,2,2,2,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.5,0,1.0717346859826464
53,13,2,4,1,4,1,8.400884069015854,1,0,11,3,3,2,3,3,4,1,3,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0,0.9790973330336057
20,1,3,4,1,2,2,7.950502434808851,1,0,13,3,4,0,0,4,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1.0,0,1.0070943825326577
33,10,3,2,0,2,4,8.451694209183541,3,0,14,3,3,0,6,2,7,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.3333333333333333,0,0.9850190994001632
45,1,4,4,1,3,4,7.7279755421055585,3,0,14,3,4,2,2,3,5,0,2,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.375,0,0.9789067823851809
39,21,4,1,0,2,4,8.71948076085107,3,1,12,3,4,2,2,4,5,1,4,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.375,0,1.0162288026178221
49,20,4,3,1,3,1,8.789964651132264,1,0,14,3,3,0,2,2,15,5,11,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.0625,0,1.0244434843619346
40,19,2,3,0,3,4,7.91644286012226,8,1,15,3,3,1,2,4,7,3,7,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0.5333333333333333,0,0.9226371924409432
43,17,3,3,0,2,3,7.798933310041217,9,1,16,3,4,1,4,3,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1.5,0,0.9878950406834472
34,23,3,2,1,3,1,9.205428327615163,9,1,15,3,3,3,2,3,3,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.8181818181818182,0,1.0038925688324467
27,1,2,3,1,3,1,8.910990494656719,1,0,11,3,4,0,3,3,9,0,7,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.1111111111111111,0,0.9717828242371416
54,2,4,1,1,3,3,9.514141826307847,9,0,12,3,1,1,5,1,4,0,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0.5625,0,1.0375591377531068
20,10,1,4,0,3,3,6.917705609835305,1,1,11,3,4,0,5,3,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1.0,0,0.8762694580380047
34,9,3,4,0,3,4,9.04793908261736,0,0,11,3,4,1,0,2,9,1,6,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.9867176719023344
46,2,3,3,1,3,1,9.74384682996523,8,0,23,4,1,0,2,3,26,15,9,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0.2857142857142857,0,1.0106870009840183
50,1,3,4,1,3,3,8.7558950816463,0,0,12,3,1,1,3,3,18,0,13,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.0,0,1.0204727802851647
27,11,3,3,1,4,4,7.837948916025283,8,0,14,3,2,1,4,3,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1.6,0,0.9928371682961162
46,5,4,1,0,3,4,8.660947155060933,4,1,21,4,3,0,4,3,9,0,8,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.2857142857142857,0,1.0094068899653985
32,29,4,4,1,3,3,8.300528606199737,9,0,12,3,2,0,2,3,8,7,7,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0.9,0,1.0514323842926245
29,2,3,4,0,3,3,8.444622498581403,1,0,14,3,1,1,3,2,4,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.25,0,0.9841949131676598
29,10,1,4,1,2,2,9.020268861722167,1,1,14,3,1,2,2,3,7,1,7,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.14285714285714285,0,1.0512847354162893
50,8,4,4,0,3,2,8.262558973010657,7,0,15,3,4,1,2,3,2,2,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1.75,0,1.046622750611597
32,10,3,4,0,3,4,8.593598522618644,1,0,12,3,4,0,2,2,10,0,8,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.1,0,1.001557612929079
36,18,1,2,1,3,4,7.675081857716334,1,0,13,3,1,0,2,3,8,1,7,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0.125,0,0.9722067111813005
52,3,3,4,0,2,3,8.98343977178426,2,1,14,3,3,0,4,3,5,0,4,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.07142857142857142,0,0.9796837375175629
47,14,4,3,0,3,2,8.60666819784384,8,0,18,3,3,1,4,4,8,1,7,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0.5,0,1.0030808435856955
28,2,4,2,1,3,2,8.472195825485501,1,1,20,4,1,0,2,3,8,7,5,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0.125,0,0.9874085000488593
39,2,3,4,1,2,4,8.557374981049069,8,0,11,3,3,2,2,3,5,0,4,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.6153846153846154,0,0.997335869996736
47,2,2,1,1,3,4,8.531293315795018,5,0,13,3,3,3,2,3,5,0,4,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.25,0,0.9942961317166304
41,10,2,3,0,1,2,8.72453251118548,1,0,13,3,1,0,4,3,19,11,9,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.05263157894736842,0,1.0168175686618406
51,9,3,4,0,3,2,9.895858525371636,4,1,24,4,1,1,5,2,29,11,10,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.12903225806451613,0,1.0035650520838737
36,15,3,1,0,3,3,8.483636407887396,7,0,14,3,2,1,3,2,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.7777777777777778,0,0.988741864921654
36,12,5,4,1,2,4,9.089189170412032,0,0,11,3,2,0,2,2,14,7,8,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0,0.9912161759509218
26,1,3,3,0,3,1,7.961370201719511,0,0,13,3,4,0,6,2,7,7,6,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0.0,0,1.008471008361798
40,10,3,2,1,2,2,8.832441791585824,7,0,12,3,2,1,2,4,5,1,3,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1.0,0,1.0293940651093065
26,5,2,3,1,2,3,7.769378609513984,1,1,14,3,1,1,2,3,8,1,7,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0.125,0,0.9841513310094401
39,23,3,3,0,3,1,8.270013062273787,0,0,13,3,1,0,2,3,5,0,3,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0.0,0,1.0475669640729912
32,2,4,4,0,3,2,7.2399325913204695,1,0,12,3,1,0,2,3,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1.0,0,0.917086121590409
56,11,5,4,1,2,1,8.59062950948942,4,0,16,3,3,1,3,3,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0.6666666666666666,0,1.0012115835335198
45,8,4,4,0,3,4,8.21554741194707,9,0,14,3,1,2,3,3,10,9,8,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0.75,0,0.9574969127494262
29,3,1,2,0,3,1,8.460411177317253,1,1,18,3,4,0,3,3,10,1,5,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0.1,0,1.0716847948236075
47,9,3,3,0,1,3,9.467846701917901,7,0,11,3,3,0,3,1,23,14,10,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.28,0,0.9820587039104738
52,2,1,1,1,1,4,9.895757754474186,1,0,15,3,4,1,3,3,32,6,9,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0.030303030303030304,0,1.0035548326420043
36,1,4,2,1,3,3,8.827028068509152,6,0,13,3,1,0,5,3,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.4,0,1.0287631122497498
42,18,4,4,0,3,1,8.596189197642735,6,1,17,3,3,1,3,2,4,1,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.6666666666666666,0,1.0018595481761325
31,5,3,1,0,3,3,9.029657471850737,1,0,19,3,3,1,3,3,5,0,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0.16666666666666666,0,1.0523789491992979
45,1,1,3,0,2,3,9.282568005973063,3,0,23,4,4,1,3,2,23,14,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.12,0,1.012304991058723
24,13,2,4,1,3,2,7.617759576608505,1,0,13,3,3,1,2,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,0,0.9649456672697984
52,11,4,4,1,3,3,8.055157731819678,8,0,20,4,2,1,3,3,5,1,4,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.8888888888888888,0,0.9388039862944563
37,14,3,4,1,3,1,8.017966703493599,1,0,12,3,3,1,2,2,18,12,17,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.05555555555555555,0,1.0156401174181182
30,3,3,4,1,3,1,7.88532923927319,5,1,11,3,3,0,5,3,5,0,4,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0.625,0,0.9988388591045658
38,3,4,2,0,3,4,8.833754223418396,8,1,12,3,3,0,1,3,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.42105263157894735,0,1.029547025023585
42,4,4,2,0,3,1,8.547916364059079,7,0,13,3,4,0,3,4,6,1,5,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.7777777777777778,0,0.9962334971282373
40,7,3,1,0,3,1,7.681099001536359,3,1,14,3,2,0,3,1,4,0,3,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.3,1,0.9729689059972543
30,4,2,3,1,2,2,8.558335134747413,1,1,12,3,2,3,4,2,11,2,7,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.09090909090909091,0,0.9974477729723785
37,6,4,3,0,3,1,7.637234388789473,4,1,22,4,4,0,3,3,3,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5714285714285714,0,0.9674125521125049
32,1,3,4,0,3,4,7.747164966520335,0,0,12,3,2,1,2,3,3,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0.9813375170073785
23,12,2,4,0,3,4,7.881559917056899,1,0,13,3,3,0,6,4,5,1,4,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0.2,0,0.9983613970496694
49,8,1,3,0,2,2,8.543055850941965,1,0,23,4,4,1,3,3,10,1,7,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.1,0,0.9956670191967428
36,9,3,4,0,2,3,8.128290171607052,0,1,17,3,1,1,0,2,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0.0,0,1.029614849947239
22,1,2,4,0,2,4,8.471358655072438,6,0,22,4,1,2,2,1,2,2,2,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1.5,0,0.9873109303988092
40,5,4,4,0,2,1,9.256842205627603,5,1,21,4,3,1,2,3,18,1,12,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.25,0,1.0094994790417968
48,1,2,1,0,2,3,8.590815331286851,9,1,13,3,4,0,2,3,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.391304347826087,0,0.9368663102203522
31,10,2,3,1,3,4,8.792397742356906,2,1,11,3,4,1,2,3,5,1,4,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.25,0,1.0247270536993405
28,2,4,1,0,3,3,8.156510226079966,2,0,11,3,3,0,5,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.4,0,1.0331894992939281
24,1,3,2,0,3,4,7.738052297689316,2,1,16,3,1,1,2,2,2,2,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0.3333333333333333,0,0.9801832103877842
34,10,4,3,0,4,4,8.460622839927844,1,0,13,3,1,1,3,3,9,7,2,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.1111111111111111,0,0.9860597039933905
34,6,4,1,1,3,3,8.478452363099807,1,0,14,3,3,0,3,3,16,2,10,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0.0625,0,0.9881376803639149
25,1,3,1,1,3,3,8.496786381638575,0,0,12,3,4,2,3,3,4,1,2,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0,0,0.9902744541257744
41,10,4,2,0,2,4,9.859640152755851,3,0,15,3,2,3,2,2,21,12,6,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.13043478260869565,0,0.9998920516153076
37,25,2,3,1,2,4,8.653819788948063,7,0,13,3,3,2,2,3,6,1,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7777777777777778,0,1.0085762172534152
35,8,4,3,0,3,3,8.371936178759098,1,0,17,3,2,0,2,1,5,1,4,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0.16666666666666666,0,1.060477619582406
46,1,4,4,0,3,1,9.148145768383065,7,0,16,3,3,1,3,3,4,0,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.4117647058823529,0,0.9976456530464319
35,6,4,2,0,1,4,8.801920904041582,1,0,13,3,2,0,3,3,17,11,8,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.058823529411764705,0,1.0258369490545094
36,3,3,3,0,3,2,8.214194414852564,1,0,12,3,3,0,2,2,11,0,7,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0.08333333333333333,0,1.0404963862422913
38,4,2,4,1,3,3,8.103796712981794,7,0,19,3,4,1,5,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1.0,0,1.0265122504835504
36,5,4,2,1,2,1,8.13739583005665,9,1,14,3,4,1,3,4,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.5,0,1.030768268558081
27,3,3,3,0,2,3,7.8504931808711405,1,1,15,3,4,1,2,2,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,0.9944261570125971
49,5,4,1,0,3,3,8.802672840312818,2,0,14,3,2,1,0,2,3,1,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.1,0,1.025924584926131
40,25,4,4,0,2,2,9.115480090952223,2,1,12,3,3,0,2,3,5,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.2222222222222222,0,0.9940833168181084
43,15,3,4,0,2,4,8.825412915085566,3,0,18,3,3,1,5,3,2,2,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.42857142857142855,0,1.0285748710603129
29,1,3,4,0,4,3,8.747510946478448,8,1,12,3,4,0,5,4,3,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8,0,1.0194956349853133
60,28,3,3,1,2,1,9.236690147298965,4,0,19,3,4,0,5,4,18,13,11,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0.18181818181818182,0,1.0073018081803435
30,25,2,4,1,3,3,8.463159302923751,7,1,12,3,2,1,2,4,2,2,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1.75,0,0.9863553209944381
31,16,4,1,0,3,3,9.00724451596575,2,0,13,3,1,3,2,3,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0.2,0,0.982279749885077
50,3,2,1,0,2,3,7.895063498091573,1,1,14,3,3,0,2,3,3,0,2,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0.3333333333333333,0,1.000071902859284
20,11,3,4,1,2,1,7.8636512654486515,1,1,15,3,1,0,2,3,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1.0,0,0.996092898601768
38,17,1,3,1,2,3,9.085230560933338,0,0,18,3,1,1,4,2,19,1,9,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0.9907844721238821
31,5,4,3,0,3,4,8.480944058741116,0,1,12,3,3,1,4,3,5,0,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0.0,0,1.0742857058614617
34,21,4,4,0,4,4,8.58260632996447,1,0,12,3,4,0,3,3,10,5,7,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.1,0,1.0002765065093886
50,22,5,3,0,1,4,9.575816471867984,1,1,13,3,4,0,2,3,32,13,9,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0.03125,0,0.9932579401969265
34,7,3,1,0,1,3,8.711937268208748,1,1,24,4,4,0,3,3,9,0,6,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.1111111111111111,0,1.0153496316321045
46,3,1,1,0,3,3,9.768011412973678,3,0,12,3,4,1,3,3,12,4,9,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0.13043478260869565,0,1.0131934884480587
20,2,3,3,1,2,3,7.623153068476902,1,0,13,3,4,0,3,2,2,0,2,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.5,0,0.9656288637605153
40,9,4,4,0,3,2,8.193676665955241,8,1,14,3,4,1,2,3,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2.6666666666666665,0,1.0378973920496426
26,6,3,3,1,2,2,7.7702232041587855,1,0,19,3,3,0,3,2,5,4,3,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0.2,0,0.9842583162634252
